Sentiment,cleaned_text
positive,operating profit sale threemonth period increased respectively eur0 .3 eur13 .1 compared corresponding period 2005 .
positive,operating profit turnover ninemonth period increased respectively eur2 .4 eur43 .8 compared corresponding period year ago .
positive,operating profit turnover sixmonth period increased respectively eur17 .6 eur1149 .9 compared corresponding period 2007 .
positive,operating profit turnover sixmonth period increased respectively eur0 .1 eur29 .0 compared corresponding period year ago .
positive,cargo volume increased approximately 5 % .
positive,comparable operating profit totaled eur 854mn eur 730mn 2004 .
positive,digia said consolidated net sale januaryjune 2010 eur67 .8 9.7 % period 2009 eur61 .9 .
positive,diluted earnings per share eps rose eur 0.29 eur 0.05 .
positive,diluted earnings per share eps rose eur 0.52 versus eur 0.09 .
positive,diluted earnings per share eps rose eur 1.05 eur 0.64 .
positive,diluted earnings per share eps rose eur 3.68 eur 0.50 .
positive,diluted eps rose eur3 .68 eur0 .50 .
positive,ebit margin 1.4 % 5.1 % .
positive,eps continuing operation came 0.30 eur 0.17 .
positive,equity ratio 60.9 % compared 54.2 % third quarter 2007 net sale frozen food business totaled eur 11.0 5 % third quarter 2006 .
positive,eur928 000 q1 2010 6 may 2010 finnish textile clothing design company marimekko oyj hel mmo1v said today net profit rose eur928 000 first quarter 2010 eur13 000 corresponding period year earlier .
positive,finlandbased elcoteq se privately held provider electronics manufacturing service communication company said thursday signed longterm manufacturing supply deal communication equipment company andrew corp. .
positive,finnish cutlery hand tool maker fiskars oyj abp hel fisa said today net profit rose eur 24.1 million usd 33.6 third quarter 2010 eur 17.9 million year earlier .
positive,finnish department store chain stockmann oyj abp net profit rose 39.8 mln euro $56.8 mln first nine month 2007 37.4 mln euro $53.4 mln period 2006 .
positive,finnish lifting equipment maker konecranes oyj said july 30 2008 net profit rose 71.2 mln euro $111.1 mln first half 2008 57.1 mln euro $89.1 mln period 2007 .
positive,finnish metal industry solution supplier outotec oyj net profit rose 50.4 mln euro $72.5 mln first nine month 2007 20.1 mln euro $28.9 mln period 2006 .
positive,finnish metal product company componenta oyj net profit rose 26.1 mln euro $35.9 mln first quarter 2007 5.3 mln euro $7.3 mln period 2006 .
positive,finnish office supply computer accessory dealer belttongroup plc said net profit rose 1.3 mln euro $1.7 mln 2006 1.13 mln euro $1.5 mln 2005 .
positive,finnish security privacy software solution developer stonesoft oyj said january 7 2008 preliminary sale stonegate product grew 59 pct yearonyear 3.6 mln euro $5.3 mln fourth quarter 2007 .
positive,finnish silicon wafer technology company okmetic oyj omx helsinki okm1v reported thursday 7 august operating profit eur5 .3 period januaryjune 2008 eur3 .3 corresponding period 2007 .
positive,finnish software developer done solution oyj said net profit increased 3.5 mln euro $4.6 mln 2006 2.3 mln euro $3.0 mln 2005 .
positive,first quarter underlying operating profit rose 41 mln eur 33 mln year earlier .
positive,first nine month 2010 company net profit rose eur41m eur30m corresponding period 2009 .
positive,helsinki afx retail wholesale group kesko reported net sale 659.4 mln eur february increase 10.8 pct yearonyear .
positive,however net sale 2010 seen grown eur598 .3 eur582 .3 2009 .
positive,however sale returned growth apriljune 2010 ceo pekka eloholma said .
positive,ragutis controlled finnish brewery reported 5.4percent rise beer sale 10.44 million litre held 11.09percent market share .
positive,svyturysutenos alus controlled nordic group baltic beverage holding bbh posted 4.7percent growth beer sale januarymay 46.22 million litre .
positive,december alone member lithuanian brewer association sold total 20.3 million liter beer increase 1.9 percent sale 19.92 million liter december 2004 .
positive,januaryseptember 2009 group net interest income increased eur 112.4 mn eur 74.3 mn januaryseptember 2008 .
positive,q1 2010 bank land net interest income increased eur 9.1 mn eur 9.7 mn .
positive,sweden operating profit period review totaled eur 3.4 mn 30.8 % corresponding period 2005 .
positive,fourth quarter 2009 orion net profit went 33.8 % yearonyear eur33m .
positive,second quarter 2010 group net profit rose eur 3.1 million eur 2.5 million apriljune 2009 .
positive,second quarter 2010 group net profit rose eur3 .1 eur2 .5 apriljune 2009 .
positive,third quarter net sale increased 12 % yearonyear eur 159.5 million 6 % comparable currency rate growth .
positive,third quarter net sale increased 12 % yearonyear eur159 .5 6 % comparable currency rate growth .
positive,market share widened 48.51 percent 48.31 percent year earlier .
positive,kesko agro eesti retailer wholesaler grain agricultural warehousing machinery accessory net sale 81 million euro 2007 increase onetenth preceding year .
positive,kesko car import retailing business vvauto saw sale grow 17.1 pct .
positive,kone net sale rose 14 % yearonyear first nine month 2008 .
positive,adp news feb 11 2009 finnish management software solution provider ixonos oyj hel xns1v said today net profit rose eur 3.5 million usd 4.5 2008 eur 3.1 million 2007 .
positive,adp news feb 12 2009 finnish solution provider affecto oyj hel afe1v said today net profit rose eur 8.5 million usd 11m 2008 eur 7 million 2007 .
positive,adp news feb 6 2009 finnish fishing tackle company rapala vmc corp hel rap1v said today net profit rose eur 19.2 million usd 24.6 2008 eur 17.5 million 2007 .
positive,adp news nov 5 2008 finnish electronic measurement product solution maker vaisala oyj omx vaias said today net profit rose eur 18 million usd 23.1 first nine month 2008 eur 1
positive,adp news oct 29 2008 finnish lifting equipment maker konecranes oyj omx kcr1v said today net profit rose eur 116.6 million usd 149.1 first nine month 2008 eur 73.6 million
positive,metso expects net sale increase 10 % 2008 comparable exchange rate .
positive,net interest income increased 4.5 % eur 31.4 mn eur 30.0 mn 2004 .
positive,net interest income eur 152.2 mn eur 101.0 mn 2008 .
positive,net interest income eur 39.3 mn eur 32.7 mn .
positive,net sale vegetable oil business rose eur 10.6 mn eur 10.1 mn .
positive,nokia multimedia net sale totaled eur 5.7 bn 45 % corresponding period 2005 .
positive,operating income rose eur 696.4 mn eur 600.3 mn 2009 .
positive,operating profit kauppalehti group rose eur 1.5 mn eur 1.3 mn marketplace eur 1.3 mn eur 1.0 mn third quarter 2006 .
positive,operating profit rose eur 1.94 mn eur 2.45 mn .
positive,operating profit rose 22.1 mln eur 19.9 mln .
positive,operating profit rose eur 1.6 mn eur 1.1 mn corresponding period 2006 .
positive,operating profit rose eur 103.4 mn eur 23.2 corresponding period 2006 .
positive,operating profit rose eur 13.5 mn eur 9.7 mn corresponding period 2006 .
positive,operating profit rose eur 26.7 mn eur 14.9 mn corresponding period 2006 .
positive,operating profit rose eur 27.8 mn eur 17.5 mn 2008 .
positive,operating profit rose eur 3.2 mn eur 1.0 mn corresponding period 2008 .
positive,operating profit rose eur 4.7 mn eur 3.6 mn .
positive,operating profit rose eur 4.7 mn eur 4.6 mn .
positive,operating profit rose eur 9.2 mn eur 6.8 mn corresponding period 2007 .
positive,operating profit rose eur2 .4 eur1 .6 year earlier .
positive,operating profit surged eur21m eur106 000 .
positive,operating profit totaled eur 377 mn slightly eur 37.2 mn corresponding period 2006 .
positive,operating profit totaled eur 5.5 mn eur 0.7 mn .
positive,operating profit eur 11.4 mn eur 7.5 mn .
positive,operating profit eur 139.7 mn 23 % eur 113.8 mn .
positive,order intake grew 40 % yearonyear 30 % yearonyear respectively eur 576 million eur 1.7 billion respective januaryseptember julyseptember 2010 period .
positive,order received grew 55 % yearonyear eur732m .
positive,orion pharma operating profit increased 42.5 % 2004 .
positive,passenger volume rose 8.4 % accounting period .
positive,passengerrelated revenue rose 5.1 % eur 460.8 mn eur 438.5 mn 2009 .
positive,pretax profit rose eur 0.6 mn eur 0.4 mn corresponding period 2005 .
positive,pretax profit rose eur 1019 mn eur 1007 corresponding period 2005 .
positive,pretax profit rose eur 17.8 mn eur 14.9 mn 2005 .
positive,pretax profit totaled eur 397.4 mn eur 164.7 mn .
positive,profit period totaled eur 39.4 mn eur 33.9 mn corresponding period 2006 .
positive,profit period eur 5.9 mn eur 1.3 mn .
positive,profit period eur 9.8 mn eur 6.0 mn 2004 .
positive,revenue grew 12 percent x20ac 3.6 billion u $4.5 billion .
positive,revenue july september grew 14 percent euro 467 million year earlier company said thursday .
positive,revenue time grew 14 percent 43 million euro .
positive,sale latin america increased 42 % eur 432mn total 8.7 mn mobile device sold area representing increase 32 % corresponding period 2009 .
positive,sanoma magazine finland net sale grew eur 140.1 mn eur 131.8 mn .
positive,satama net profit third quarter 2007 rose 275000 euro $395000 270000 euro $388000 period 2006 .
positive,section regional news demand finnair asian traffic measured passenger kilometer 34.9 % august compare last year .
positive,svyturysutenos alus controlled nordic group baltic beverage holding bbh posted 6.1 percent growth beer sale januaryseptember 101.99 million liter .
positive,would increase estimated sale 117 million last year .
positive,chain posted sale 298 million euro full 2005 rise 19.5 percent yearonyear .
positive,company expects net sale 2008 increase 510 % 2007 .
positive,company operating income ebit totalled eur 0.0 mn eur 0.3 mn yearonyear .
positive,eps outlook increased 5.6 pct 2007 7.0 pct 2008 .
positive,fair value investment property totaled eur 2534.9 mn eur 2455.1 mn 2006 .
positive,finnish government announced wednesday sold 32 percent stake chemical fertilizer group kemira oyj x20ac 655.6 million $890us million sending company share price 6 percent .
positive,helsinkibased company also owns salomon atomic suunto brand said net profit rose 15 percent three month dec. 31 x20ac 47 million $61us million x20ac 40.8 million year earlier .
positive,operating profit grain trading increased eur 2.0 mn eur 1.4 mn 2005 .
positive,stock rose second day wednesday bringing twoday rise gbx12 .0 2.0 % .
positive,stock rose third day tuesday bringing threeday rise gbx10 .50 1.8 % .
positive,transaction would increase earnings per share first quarter eur0 .28 .
positive,total operating revenue grew 27.6 % yearonyear eur61m .
positive,vacon cash flow operation grew eur 37.1 mn eur 21.9 mn year ago .
positive,basware product sale grew strongly financial period 24 percent .
positive,1 february 2011 finnish textile clothing company marimekko oyj hel mmo1v said today preliminary operating profit grew eur8 .2 2010 eur6 .3 2009 .
positive,affecto expects net sale whole 2010 increase 2009 level reached eur 103 million .
positive,cash flow operation rose eur 52.7 mn eur 15.6 mn 2007 .
positive,commission income rose 25.7 % eur 16.1 mn eur 12.8 mn 2004 .
positive,earnings per share januaryjune 2010 eur0 .30 increase 20 % yearonyear eur0 .25 .
positive,earnings per share eps rose eur 0.11 eur 0.03 .
positive,elisa said mobile subscription grew 7 percent 2007 mainly customer adopting socalled third generation mobile technology .
positive,eps quarter came 0.36 eur 0.33 eur year ago ahead forecast 0.33 eur .
positive,eps grew 0.04 eur 0.02 eur .
positive,export grew 16.5 percent 19.1 million liter .
positive,finnish investment group panostaja oyj said net profit went 8.6 mln euro $11.4 mln fiscal 200506 ended october 31 2006 2.8 mln euro $3.7 mln period fiscal 200405 .
positive,finnish metal component supplier componenta oyj said net profit went 3.5 mln euro $4.5 mln 2006 2.2 mln euro $2.8 mln 2005 .
positive,finnish silicon wafer technology company okmetic oyj omx helsinki okm1v reported thursday 30 october operating profit eur7 .4 januaryseptember 2008 eur6 .1 corresponding period 2007 .
positive,fiskars brand report net sale eur 145.8 mn eur 138.4 mn .
positive,however proportion paid standing order grew 2009 .
positive,januaryseptember 2007 group net sale continuing operation rose eur 213.1 mn eur 172.6 mn corresponding period 2006 .
positive,julyseptember 2008 yit net sale increased eur 970.8 mn compared eur 906.8 mn corresponding period 2007 .
positive,reporting period net sale rose 8 % yearonyear eur64 .3 due business acquisition realized first half 200809 effect eur10 .9 review period .
positive,reporting period company operating profit grew 43.2 % eur 6 million .
positive,last year net sale rose eur 68.3 million eur 62.2 million .
positive,last year company raised turnover approximately 7 million litas eur 2 mln 6.1 million litas 2004 .
positive,marimekko group fullyear net sale estimated increase 10 % .
positive,net sale surged 30 % eur 36 million .
positive,nevertheless market share rose 49.14 percent 48.51 percent year earlier .
positive,octoberdecember sale 302 mln eur 25.3 pct increase year year .
positive,olvi control 94 percent stake ragutis a. le coq said annual report published earlier year lithuanian brewery sale reached 15.04 million euro last year rise 20.4 percent 12.49 million euro 2004 .
positive,olvi expects sale market share increase first quarter 2010 .
positive,operating profit increased eur 14.0 mn eur 4.9 mn corresponding period 2005 .
positive,operating profit asian plant grew markedly .
positive,operating profit totaled eur 825mn eur 763mn 2004 .
positive,operating profit totalled eur 83.0 mn eur 23.5 mn yearonyear .
positive,production capacity increase 36 000 85 000 tonne per year raw material continue recycled paper board .
positive,profit period increased eur 2.9 mn eur 10.5 mn .
positive,profit per share eur 1.03 eur 0.87 .
positive,return capital employed rose 4.8 percentage point 19.6 % .
positive,revenue july september grew 21 percent euro 2.3 billion finnish company said thursday .
positive,revenue grew 1 percent euro742 .2 million u $964 million euro735 million .
positive,ruukki order book end 2010 30 % yearonyear 10 % quarteronquarter .
positive,sale finland rose 3.9 % international growth 0.7 % .
positive,sale security system packaging increased slightly .
positive,stora enso thirdquarter pretax profit doubled eur 197mn .
positive,company market share continued increase .
positive,company scheduled traffic measured revenue passenger kilometre rpk grew 2 % nearly 3 % passenger carried scheduled flight february 2009 .
positive,disposal autotank also strengthen aspo capital structure commented gustav nyberg ceo aspo .
positive,earnings per share quarter came 0.25 eur 0.20 eur quarter year earlier .
positive,economic occupancy rate sponda property portfolio rose 91.2 % 88.8 % 2006 .
positive,group 12month operating profit grew 31 percent 337.8 million euro .
positive,growth net sale first half 2008 28 % compared first half 2007 .
positive,pretax profit group life insurance business increased eur 36 million eur 27 million .
positive,pretax profit group life insurance business increased eur36m eur27m .
positive,total delivery volume paper business 2010 1155000 tonne 1132000 tonne 2009 .
positive,value firm forestry holding increased sek 3.6 bn .
positive,turnover rose eur21m eur17m .
neutral,finnish talvivaara mining co hel tlv1v said thursday picked bofa merrill lynch jpmorgan nyse jpm joint bookrunners planned issue convertible note worth eur250m usd332m .
neutral,mall part baltic pearl development project city st petersburg baltic pearl cjsc subsidiary shanghai foreign joint investment company developing home 35000 people .
neutral,vacon control 5 % company via investment fund power fund i. eur 1.0 usd 1.397
neutral,4 complete name shareholder otto henrik bernhard nyberg 5 information amount share transferred corresponds 5.68 % total number share aspo plc . .
neutral,data processing unit collect data calculates rvr value provides data user via various interface .
neutral,german commerzbank ag hamburg branch u jp morgan nyse jpm participated arranger dutch ing am inga coarranger .
neutral,increase number share based option right granted management company stock option plan 2006 .
neutral,30 office worldwide 90 pct net sale generated outside finland .
neutral,has80 branch finland annual revenue finland
neutral,nokia messaging 1.1 enables customer receive email 10 email account mobile phone supporting pop imap email service .
neutral,share repurchase 11.01.2008 helsinki stock exchange behalf sampo plc danske bank helsinki branch
neutral,contract value amount eur11m company added .
neutral,aldata said still number operational aspect defined microsoft detail product market initiative resulting agreement available later date .
neutral,alexandria va. may 16 kenneth bower vista calif. developed ornamental design handset u.s. patent trademark office announced .
neutral,biohit oyj develops manufacture market liquid handling product diagnostic test system use research healthcare industrial laboratory .
neutral,mr ashley deputy executive chairman sport direct sold 43pc stake company pound 900m time float .
neutral,rental building equipment accounted 88 percent operating income .
neutral,ruukki delivery includes steel structure including installation krakeroy bascule bridge steel pile bridge foundation .
neutral,stockmann established 1862 finland became first foreign company enter russia retail trade market 1989 .
neutral,broadbased wig index ended thursday session 0.1 pct 65003.34 pt bluechip wig20 1.13 3687.15 pt .
neutral,business divested generates consolidated net sale eur 60 million annually currently 640 employee .
neutral,company generates net sale 600 mln euro $775.5 mln annually employ 6000 .
neutral,contract cover manufacturing surfacetreatment installation steel structure .
neutral,order also includes startup commissioning service .
neutral,phone targeted first time user growth market .
neutral,tielinja generated net sale 7.5 mln euro $9.6 mln 2005 .
neutral,tikkurila powder coating 50 employee four paint plant generated revenue eur2 .4 usd3 .3 2010 .
neutral,rental agreement stockmann committed invest building bridge gogol street build underground tunnel crossing street 2004 .
neutral,vnh generates annual net sale 5 mln eur employ 21 people .
negative,jan. 6 ford struggling face slowing truck suv sale surfeit uptodate gottahave car .
negative,pharmaceutical group orion corp reported fall thirdquarter earnings hit larger expenditure rd marketing .
negative,however growth margin slowed due financial crisis .
positive,helsinki afx nokian tyre reported fourth quarter pretax profit 61.5 mln eur 48.6 mln back strong sale .
positive,kalnapiliotauro grupe kalnapilistauras group owned denmark royal unibrew raised market share 25.18 percent 23.74 percent beer sale seven month jumped 14.5 percent 40.5 million liter .
positive,company estimate net sale 2010 increase considerably 2009 operating result clearly positive .
positive,uponor made operating profit eur 151.0 mn eur 143.7 mn made 2007 record year .
positive,basware corporation stock exchange release august 31 2010 1625 basware signed large deal international industrial group basware deliver invoice automation solution connectivity service international industrial group .
positive,estimate operating profit improve third quarter .
positive,ruukki forecast 1520 % annual sale growth positive pretax result 2010 .
positive,sale rose 10 pct 566 mln eur back strong volume favourable currency effect .
positive,growth net sale continued favourably middle east africaand asia pacific .
positive,appointment kaupthing bank aim coordinate capital market activity within group improve overall service client .
neutral,following increase huhtamaki registered share capital eur360 .62 number share outstanding 106063320 .
neutral,helsinki october 22 2008 ssh communication security corp board director information please contact tomi laamanen chairman tel . 358 0 400 609 544 distribution nasdaq omx helsinki ltd. .
neutral,offer 30 million share aimed raise x20ac 500 million u $640 million expected completed oct. 9 outokumpu said .
positive,theodosopoulos said tellabs could value nokia siemens nortel given leading supply status verizon along highgrowth product .
positive,succeeded increasing market share sold apartment comment mr kari kauniskangas head yit international construction service .
positive,capman partner able develop business continue focus providing quality restaurant service customer say christopher wynne ceo papa john russia .
positive,finnish suominen corporation specialises wet wipe nonwovens flexible packaging report net sale eur 44.1 mn second quarter 2010 eur 43.3 mn second quarter 2009 .
positive,finnish telecom software developer tecnomen oyj said december 5 2006 $3.3 mln 2.5 mln euro order supply expansion charging messaging system mobile fixed network brasil telecom .
positive,adp news dec 11 2008 finnish construction engineering company outotec oyj omx ote1v said today eur 28 million usd 36.8 order expand phosphate concentrator siilinjarvi norwegian minera
positive,bank see potential getinge share rise .
positive,company recorded revenue e658 .1 million fiscal year ended december 2007 increase 23 % 2006 .
positive,robust growth result inclusion clothing chain lindex group december 2007 .
positive,six brewery recorded 5.2 percent growth domestic beer sale last year 270.21 million liter 256.88 million liter sold 2005 .
positive,january 11 2010 ephc board director approved increase quarterly dividend $0.03 $0.05 per share .
positive,bilfinger investor cheered agreement pushing share 7 % euro 3.30 euro 50.29 afternoon trade .
positive,london afx share rautaruukki corp upgraded hold sell abn amro price target raised 25.75 eur 14.5 said dealer .
positive,london marketwatch nokia nok said fiveyear service contract run hutchison essar network operation nine location india .
positive,progress group qpr representative saudi arabia north africa signed framework agreement long term strategic relationship ise .
positive,ragutis controlled finnish brewery olvi achieved 5.7 percent rise beer sale 22.6 million liter held 10.75 percent market share .
positive,addition cramo peab signed exclusive fiveyear rental agreement finland extended existing rental agreement swedish market another five year .
positive,outotec oyj press release december 4 2009 10.30 outotec establishes new subsidiary kolkata outotec established subsidiary india order better serve indian customer increase business growing indian market .
neutral,original contract signed last summer .
positive,number collection error fell considerably operation speeded .
positive,second quarter 2010 group pretax loss narrowed eur 400000 eur 600000 .
positive,26 january 2011 finnish metal product company componenta oyj hel cth1v said yesterday net loss narrowed eur500 000 last quarter 2010 eur5 .3 period year earlier .
positive,8 may 2009 finnish liquid handling product diagnostic test system maker biohit oyj hel biobv said today 8 may 2009 net loss narrowed eur0 .1 usd0 .14 first quarter 2009 eur0 .4 period 2008 .
